x,y,z
79,70,72
15,26,69
70,122,113
115,126,66
107,44,40
27,112,35
120,96,94
11,76,117
108,71,59
10,124,114
48,34,18
127,72,2
11,42,123
70,110,15
61,115,60
85,109,76
93,4,17
72,76,27
21,57,19
45,127,41
66,2,70
55,17,78
28,13,80
31,9,21
119,36,61
123,67,33
75,112,121
77,72,21
47,83,51
123,107,12
14,22,119
106,24,121
95,43,11
0,54,106
21,127,83
21,27,16
34,36,45
93,86,100
40,94,106
92,62,112
17,55,62
100,52,82
89,103,65
122,71,34
88,70,108
15,6,122
108,103,126
65,96,0
80,70,116
111,101,103
52,62,39
116,94,69
104,85,63
65,97,73
124,94,125
30,35,72
62,29,87
115,15,105
51,9,44
68,122,77
46,101,100
48,36,12
9,48,30
67,33,111
12,31,113
89,59,13
113,70,43
118,73,7
