x,y,z
122,20,52
69,7,92
58,36,76
64,61,57
97,16,99
96,52,76
83,11,4
58,34,3
53,72,85
75,117,94
45,63,101
65,29,92
48,13,99
31,45,45
19,50,72
50,49,121
85,54,108
25,69,71
96,68,64
64,82,47
126,16,6
8,44,24
62,107,67
12,27,30
72,28,115
35,94,104
53,70,9
83,16,108
17,19,71
45,34,103
27,99,101
54,57,72
82,105,80
77,89,70
51,98,49
26,21,5
94,61,81
4,42,14
32,52,49
105,3,66
116,113,75
96,40,118
112,65,125
114,60,17
91,59,97
85,25,123
63,85,40
119,43,57
112,12,97
13,46,120
109,43,122
99,6,72
23,122,101
109,100,118
85,30,69
97,100,25
90,55,7
28,111,2
88,93,83
40,18,63
63,123,52
21,43,66
84,106,80
123,68,83
102,20,127
125,89,89
116,101,62
18,17,71
