x,y,z
24,4,106
104,103,10
93,37,111
100,11,25
50,11,90
68,79,45
90,12,111
46,37,66
44,79,81
6,6,20
47,64,91
95,2,100
64,18,107
90,55,6
44,12,75
90,3,65
92,30,52
32,99,70
12,42,105
24,51,28
123,29,105
127,40,76
112,101,0
86,127,78
55,100,119
60,110,13
127,108,29
5,39,54
89,91,84
77,12,10
29,40,9
114,104,39
40,11,30
26,39,74
70,117,50
55,86,41
30,73,84
69,25,40
29,100,11
5,112,76
28,63,117
127,127,4
30,122,45
115,34,104
122,35,84
20,112,12
95,73,44
104,42,41
66,117,58
54,21,113
109,64,56
63,13,46
36,23,1
10,115,64
112,37,70
91,70,57
126,29,10
66,84,102
6,54,58
26,26,91
70,12,81
12,105,31
117,75,10
119,122,106
112,28,7
50,101,52
17,12,98
50,112,40
