x,y,z
64,77,72
89,124,89
14,66,117
32,92,53
16,101,41
107,35,68
120,35,25
108,101,30
55,72,116
61,8,123
93,28,79
52,33,0
115,60,66
68,112,100
67,98,48
19,110,32
65,36,68
32,46,97
14,53,54
67,32,25
105,42,81
22,72,107
71,44,105
54,35,43
74,17,67
60,86,89
100,118,4
126,57,54
56,37,78
92,46,18
85,35,85
122,47,56
7,35,43
0,64,99
118,95,50
31,123,92
55,23,47
88,22,40
113,75,20
88,83,112
38,85,3
27,42,26
75,112,9
63,82,32
98,49,41
69,68,26
66,51,41
83,123,49
51,41,109
119,50,51
112,86,84
39,75,27
60,98,46
12,74,13
9,75,2
91,105,67
46,127,108
115,33,36
31,34,112
90,39,85
70,51,9
96,42,49
42,94,3
8,125,77
67,43,39
38,24,56
116,68,84
21,66,12
