x,y,z
61,82,70
5,62,17
119,12,69
33,98,34
75,29,76
100,68,49
98,13,75
35,86,122
84,24,66
114,118,38
63,40,51
67,85,122
108,35,77
67,18,49
50,74,107
16,125,103
93,105,118
84,102,117
80,74,104
119,16,85
101,107,121
51,44,3
28,100,96
26,29,119
23,27,28
82,19,120
125,70,93
110,14,76
114,107,54
34,24,125
106,15,19
121,88,97
87,125,120
114,119,48
26,1,34
28,97,101
91,40,87
119,87,30
112,123,4
35,43,47
102,54,107
6,124,108
45,101,32
46,46,45
61,101,101
68,84,30
4,79,50
20,91,120
49,41,72
57,124,26
55,97,102
124,2,37
48,42,62
73,103,114
96,88,35
104,41,63
20,71,127
106,6,90
2,62,57
89,27,103
115,92,20
65,22,106
37,74,8
121,113,127
42,85,98
22,86,39
41,81,53
44,107,79
