x,y,z
62,20,30
79,48,93
0,46,61
43,7,14
23,31,14
45,33,115
64,72,19
68,94,15
97,34,0
70,127,115
53,95,111
11,22,108
17,46,15
46,113,25
43,3,59
21,1,112
39,8,32
18,31,50
33,64,101
68,57,120
3,0,52
7,121,121
69,97,26
100,7,49
18,58,103
85,70,57
72,22,112
86,31,45
4,50,105
11,75,78
71,53,122
8,110,45
31,85,120
0,50,36
4,97,99
121,80,100
8,57,109
18,119,94
8,9,38
40,41,64
122,73,40
69,25,48
121,113,98
13,106,111
16,58,53
71,61,15
50,107,95
77,7,105
48,115,98
73,125,112
51,76,3
88,74,119
89,10,102
70,44,93
0,123,27
34,108,51
89,87,35
94,7,118
102,90,111
82,49,18
108,89,37
61,20,96
125,79,1
60,34,51
30,40,0
102,89,31
81,34,44
29,29,40
