x,y,z
28,111,59
14,58,74
98,59,44
14,69,63
115,45,72
63,116,102
107,9,96
89,20,95
5,101,12
108,78,108
67,17,54
23,118,26
120,95,37
25,69,124
95,127,11
41,97,118
115,55,96
26,22,111
51,117,5
8,27,47
50,18,29
18,124,90
101,84,101
122,6,118
30,14,77
31,105,15
52,36,77
83,21,21
105,91,55
28,112,27
8,120,68
56,8,15
39,104,50
11,45,68
21,61,108
26,51,112
72,8,101
0,116,72
20,89,8
79,86,99
118,76,15
62,104,54
2,114,50
1,23,52
27,99,56
73,3,37
63,79,75
124,119,79
89,124,85
75,60,108
77,11,16
72,68,63
113,14,71
14,86,83
91,24,6
54,97,94
79,123,54
97,73,112
59,10,73
72,127,79
88,64,19
96,94,5
37,7,105
10,50,35
56,56,116
67,122,70
6,27,26
97,74,61
