x,y,z
65,86,63
41,98,70
57,119,9
4,44,32
8,124,91
59,92,13
106,65,5
2,13,84
17,126,111
26,96,35
69,55,15
97,20,35
71,91,27
41,80,50
84,43,84
42,12,0
84,26,6
115,32,116
115,8,64
104,30,46
28,44,77
51,11,92
14,5,18
49,16,15
21,70,97
75,121,100
93,28,73
33,115,70
43,48,67
29,79,13
66,48,106
122,78,13
58,123,109
97,51,4
24,96,105
15,41,46
16,55,91
16,16,18
83,81,63
70,36,105
18,26,3
102,79,122
24,14,117
30,41,64
16,13,105
79,98,99
90,115,118
82,23,108
102,27,25
113,23,24
17,34,45
93,34,77
38,62,92
81,70,89
26,4,112
29,84,79
28,45,68
67,96,15
124,24,84
12,123,108
25,91,22
123,75,60
81,90,119
85,97,21
111,115,71
99,59,64
89,59,34
69,69,40
