x,y,z
18,59,54
63,39,126
56,94,88
41,113,115
65,40,77
34,93,40
37,61,109
119,109,9
94,62,29
20,124,79
80,50,70
93,46,48
10,34,38
121,87,70
62,87,96
40,2,0
114,9,3
110,103,16
35,81,42
3,66,7
23,41,113
59,91,60
6,110,105
79,59,13
116,117,95
48,24,107
22,19,121
26,66,28
45,59,106
79,19,95
12,62,102
74,83,126
68,67,45
102,96,92
47,75,112
36,26,15
27,114,124
57,75,83
41,81,48
121,33,97
99,71,65
15,98,57
94,2,42
73,13,118
20,31,51
100,127,12
73,25,15
18,41,36
49,123,117
16,89,42
91,22,17
106,37,75
73,39,113
105,41,82
33,96,31
2,23,18
34,1,24
20,117,37
96,9,95
61,110,105
28,48,52
19,100,65
112,72,44
22,78,114
9,83,50
64,86,43
9,38,10
90,63,9
